acquisition_channel,platform,n_users,avg_churn_prob,median_churn_prob
TikTok,Google Play,3994,0.525090491283317,0.6190041521386216
Facebook,Google Play,5974,0.5183618082926154,0.6135435102762086
TikTok,App Store,1345,0.5154901833131107,0.609315190128542
Facebook,App Store,2006,0.5073240504322574,0.6044048781523765
Instagram,Google Play,8236,0.5033714217569939,0.599990875579377
Organic,Google Play,2062,0.4939504836890055,0.5902717209984918
Instagram,App Store,2702,0.49021896650113783,0.585705841408716
Organic,App Store,738,0.4726352562690733,0.37086440394401005
